Country,Journal_count,Publication_count
United States,1221,2385504
United Kingdom,1360,1654523
Netherlands,544,832453
Germany,252,172444
Switzerland,51,135919
France,200,104600
Spain,815,81403
Poland,798,57946
Brazil,476,39306
Turkey,252,35019
Ukraine,273,30960
Canada,63,28373
Australia,39,24823
Russia,219,24586
Colombia,182,17954
Italy,103,17410
Czechia,155,14955
Belgium,77,14807
Norway,64,12605
Serbia,117,12453
Lithuania,55,10741
Portugal,99,9399
Romania,181,8617
Japan,8,8080
South Africa,21,7717
Croatia,102,7587
Mexico,74,7005
Sweden,32,6906
Chile,106,5895
Denmark,24,5590
Argentina,140,5278
Slovenia,49,5152
Bulgaria,39,4937
Hungary,51,4902
Slovakia,68,4805
Finland,14,4572
New Zealand,4,4434
India,19,3958
Peru,58,3792
Ecuador,71,3594
International,16,2766
Israel,5,2456
Venezuela,20,2363
Costa Rica,41,2329
Austria,27,2030
Estonia,14,1366
Ireland,10,1352
Luxembourg,1,1317
Indonesia,27,1277
Iran,5,1147
Korea,4,878
Latvia,14,822
Bosnia and Herzegovina,39,757
Algeria,2,687
Cyprus,7,659
Montenegro,8,639
Greece,13,616
Hong Kong,1,573
Martinique,1,529
Singapore,1,463
China,4,411
Bolivia,8,381
Albania,2,323
Armenia,7,219
Dominican Republic,3,205
Nicaragua,6,205
Pakistan,8,202
Uruguay,8,195
Puerto Rico,7,190
Kazakhstan,6,169
Georgia,5,166
Macedonia,8,162
Guatemala,2,148
Moldova,9,143
Guadeloupe,1,107
United Arab Emirates,1,80
Angola,1,75
Nepal,1,74
Panama,5,53
Paraguay,4,47
Iceland,2,23
Dominica,1,22
Azerbaijan,3,17
Cuba,1,15
Lebanon,1,14
Egypt,1,11
Honduras,1,10
Malaysia,1,6
Malta,1,4
Iraq,1,1
